ZipCode,WaterUse,PowerUse,Date
90005,60.8,343,2011
90005,53.86,308,2011
90005,60.43,309,2011
90005,58.79,292,2011
90005,64.88,286,2011
90005,63.59,281,2011
90005,69.72,318,2011
90005,67.1,319,2011
90005,65.13,301,2011
90005,64.04,314,2011
90005,59.91,322,2011
90005,60.97,335,2011
90005,60.96,322,2012
90005,56.85,297,2012
90005,61.44,302,2012
90005,59.15,288,2012
90005,64.6,285,2012
90005,63.34,283,2012
90005,32.06,328,2012
90005,31.89,338,2012
90005,29.06,332,2012
90005,27.39,335,2012
90005,20.36,303,2012
90005,18.6,321,2013
90005,17.71,344,2013
90005,17.04,303,2013
90005,21.75,279,2013
90005,22.91,266,2013
90005,28.36,283,2013
90005,28.5,280,2013
90006,51.45,255,2005
90006,51.4,256,2005
90006,48.03,237,2005
90006,48.22,247,2005
90006,46.08,257,2005
90006,47.35,267,2005
90006,46.5,271,2006
90006,41.78,245,2006
90006,45.44,264,2006
90006,43.66,253,2006
90006,48.44,249,2006
90006,47.85,242,2006
90006,52.59,287,2006
90006,51.62,286,2006
90006,46.83,240,2006
90006,48.01,250,2006
90006,46.5,270,2006
90006,47.23,282,2006
90006,45.71,292,2007
90006,40.83,263,2007
90006,47.37,256,2007
90006,46.39,244,2007
90006,46.76,239,2007
90006,46.32,234,2007
90006,49.95,272,2007
90006,49.1,272,2007
90006,46.85,245,2007
90006,47.03,256,2007
90006,44.34,270,2007
90006,44.45,281,2007
90006,42.43,290,2008
90006,38.51,271,2008
90006,43.37,247,2008
90006,42.39,237,2008
90006,45.4,253,2008
90006,42.86,247,2008
90006,47.36,271,2008
90006,46.63,272,2008
90006,45.34,254,2008
90006,45.45,263,2008
90006,43.12,272,2008
90006,43.2,282,2008
90006,42.73,276,2009
90006,38.01,248,2009
90006,42.8,251,2009
90006,41.79,238,2009
90006,44.58,238,2009
90006,42.03,231,2009
90006,45.17,263,2009
90006,44.92,268,2009
90006,43.71,259,2009
90006,42.86,269,2009
90006,41.55,266,2009
90006,41.81,276,2009
90006,41.25,276,2010
90006,37.01,249,2010
90006,41.19,242,2010
90006,39.35,230,2010
90006,42.58,233,2010
90006,41.28,226,2010
90006,43.81,251,2010
90006,43.98,253,2010
90006,42.23,241,2010
90006,42.37,252,2010
90006,40.32,271,2010
90006,40.6,282,2010
90006,41.33,284,2011
90006,36.7,256,2011
90006,40.41,249,2011
90006,39.1,237,2011
90006,43.01,235,2011
90006,41.2,229,2011
90006,44.07,258,2011
90006,43.68,259,2011
90006,42.68,243,2011
90006,42.59,254,2011
90006,39.74,273,2011
90006,40.87,283,2011
90006,41.11,270,2012
90006,38.06,252,2012
90006,41.26,252,2012
90006,39.92,241,2012
90006,42.87,236,2012
90006,40.6,229,2012
90006,12.59,273,2012
90006,12.49,277,2012
90006,11.63,269,2012
90006,11.8,277,2012
90006,9.95,265,2012
90006,10.28,275,2013
90006,10.31,295,2013
90006,9.25,266,2013
90006,10.78,241,2013
90006,10.52,229,2013
90006,11.46,237,2013
90006,11.07,232,2013
90007,45.65,285,2005
90007,46.75,297,2005
90007,47.15,316,2005
90007,47.52,325,2005
90007,43.21,300,2005
90007,43.88,309,2005
90007,42.66,313,2006
90007,39.87,283,2006
90007,43.93,308,2006
90007,45.86,295,2006
90007,52.64,279,2006
90007,51.6,268,2006
90007,55.48,321,2006
90007,55.01,327,2006
90007,54.19,320,2006
90007,53.28,330,2006
90007,48.06,311,2006
90007,46.66,321,2006
90007,47.38,333,2007
90007,43.93,301,2007
90007,50.32,300,2007
90007,48.06,287,2007
90007,45.88,267,2007
90007,46.5,257,2007
90007,47.77,301,2007
90007,47.11,315,2007
90007,49.38,340,2007
90007,51.61,347,2007
90007,45.5,314,2007
90007,38.67,324,2007
90007,41.14,343,2008
90007,38.52,320,2008
